dataset_id,source_db,accession,dataset_title,url,linked_accessions,linked_publications,publication_title,doi,pmid,paper_verified,publication_link_status,country,study_design,n_total,n_asd,n_control,n_other,participant_count_scope,public_count_status,public_n_total,public_n_asd,public_n_control,body_site,specimen_type,anatomical_site,assay_type,assay_layers,sequencing_platform,raw_data_public,raw_data_granularity,participant_resolved_raw_data,downloadable_asd_control_pair,record_status,release_class,canonical_dataset_id,dataset_role,count_as_independent_dataset,count_in_unique_participant_total,unique_asd_contribution,unique_control_contribution,mapping_status,correction_issue_ids,notes,release_version,release_status
SCR00006,BioProject,PRJDB38329,Construction and Applications of Synthetic Gut Microbiota (PRJCA020304),https://www.ncbi.nlm.nih.gov/bioproject/PRJDB38329,PRJCA020304; CRA013154,,,,,no,not_linked,China,case_control,40,20,20,,primary_asd_control_groups_only,verified_group_counts,40,20,20,stool,stool,stool,metagenome,metagenome,DNBSEQ-T7,yes,participant_resolved_cross_registry,yes,yes,included,standard,SCR00006,cross_registry_project_with_gsa_data,yes,yes,20,20,confirmed_from_ngdc_project_and_biosample_metadata,RC020,Use CRA013154 as the direct raw-data accession. Do not count PRJDB38329 and PRJCA020304 as separate datasets.,v1.1-rc1,release_candidate
SCR00007,BioProject,PRJDB38518,Human gut virome (PRJCA034040),https://www.ncbi.nlm.nih.gov/bioproject/PRJDB38518,PRJCA034040; CRA022242; PRJNA1322369,,,,,no,not_linked,China,case_control,22,11,11,,primary_asd_control_groups_only,verified_group_counts,22,11,11,stool,stool,stool,metagenome,metagenome,Illumina MiSeq,yes,participant_resolved,yes,yes,repository_mirror_or_alternate_release,standard,SCR00088,repository_mirror,no,no,0,0,confirmed_from_complete_sample_alias_match,RC021,Retain as a cross-registry discovery/download mirror; use SCR00088 as the paper-linked canonical record.,v1.1-rc1,release_candidate
SCR00013,BioProject,PRJEB15418,Characterization of the gut microbiota associated with ASDs through high-throughput sequencing of the V3V5 region of 16S bacterial rRNA and of the ITS1 region of the fungal rRNA,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB15418,,Strati et al. 2017,New evidences on the altered gut microbiota in autism spectrum disorders,10.1186/s40168-017-0242-1,28222761,yes,verified,Italy,case_control,80,40,40,,primary_asd_control_groups_only,verified_group_counts,71,40,31,stool,stool,stool,multi_amplicon,16S; ITS1,454 GS FLX+,yes,multi_assay_participant_resolved,partial,no,included_partial_public,standard,SCR00013,primary_public_subset,yes,partial,40,31,verified_distinct_cohort_with_public_subset_mismatch,RC010,"Primary article and PubMed directly confirm Strati et al. 2017 (doi 10.1186/s40168-017-0242-1; PMID 28222761; PMCID PMC5320696) for PRJEB15418. The study used faecal samples from 40 ASD and 40 control children in Italy. The same cohort also generated fungal ITS1 data, but this atlas row was retained as a single dataset record and assay_type_normalized was kept as 16S under the current one-row-per-record rule. | Count the 71 participant-resolved public BioSamples in the current public-data subtotal; retain 40/40 only as the article cohort size.",v1.1-rc1,release_candidate
SCR00015,BioProject,PRJEB23052,gut metagenome of ASD,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB23052,ERP104786,Wang et al. 2019,Alterations in Gut Glutamate Metabolism Associated with Changes in Gut Microbiota Composition in Children with Autism Spectrum Disorder,10.1128/mSystems.00321-18,30701194,yes,verified,China,case_control,74,43,31,,primary_asd_control_groups_only,verified_group_counts,74,43,31,stool,stool,stool,shotgun,shotgun,Illumina HiSeq 4000,yes,participant_resolved,yes,yes,included,standard,SCR00015,primary_with_ena_study_identifier,yes,yes,43,31,confirmed_from_article_supplement_and_repository,RC022,Counts reflect discovery-stage shotgun metagenome cohort from the linked article; validation-stage LC-MS-only participants excluded. | Count only the 74 discovery-stage shotgun participants. The separate 49 ASD/11 TD validation cohort received LC-MS only and is not part of this raw metagenome dataset.,v1.1-rc1,release_candidate
SCR00018,BioProject,PRJEB27306,"Analysis of the intestinal and oropharyngeal microbiome, nutritional and immunological profile of children with Autism Spectrum Disorder (ASD) compared with children without",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB27306,ERP109374,Zurita et al. 2020,"Analysis of gut microbiome, nutrition and immune status in autism spectrum disorder: a case-control study in Ecuador",10.1080/19490976.2019.1662260,31530087,yes,verified,Ecuador,case_control,60,25,35,,public_repository_participant_records,verified_group_counts,58,27,31,stool,stool,stool,16S,16S,Illumina MiSeq,yes,participant_resolved,yes,yes,included,standard,SCR00018,primary_public_participant_dataset,yes,yes,27,31,confirmed_repository_group_counts_differ_from_article,RC011,"Primary article reports 25 ASD and 35 controls; ENA deposition contains 58 stool runs, so cohort counts are taken from the article while assay/platform/body-site are confirmed from ENA metadata. | Use 27 ASD/31 control for dataset-level public counts. Preserve 25 ASD/35 control separately as article-level analyzed-cohort counts; the reason for the group discrepancy is not reported.",v1.1-rc1,release_candidate
SCR00020,BioProject,PRJEB29421,Gut Microbiota Features in Young Children with Autism Spectrum Disorders,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB29421,ERP111721,Coretti et al. 2018,Gut Microbiota Features in Young Children With Autism Spectrum Disorders,10.3389/fmicb.2018.03146,30619212,yes,verified,Italy,case_control,25,11,14,,primary_asd_control_groups_only,verified_group_counts,25,11,14,stool,stool,stool,16S,16S,Illumina MiSeq,yes,participant_resolved,yes,yes,included,standard,SCR00020,primary_with_ena_study_identifier,yes,yes,11,14,confirmed_from_article_and_complete_repository,RC023,Treat S10 as the eleventh ASD record based on the contiguous ENA ASD run block and the article's confirmed 11/14 cohort. The article reports V3-V4 sequencing and 2 x 281 cycles.,v1.1-rc1,release_candidate
SCR00024,BioProject,PRJEB42687,ASD Colorado Longitudinal,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB42687,,Fouquier et al. 2021,The Gut Microbiome in Autism: Study-Site Effects and Longitudinal Analysis of Behavior Change,10.1128/mSystems.00848-20,33824197,yes,verified,United States,case_control,29,13,16,,primary_asd_control_groups_only,verified_group_counts,29,13,16,stool,stool,stool,16S,16S,Illumina MiSeq,yes,participant_resolved,yes,yes,included,standard,SCR00024,primary,yes,yes,13,16,verified_participant_level_longitudinal_count,,"PRJEB42687 contains the Colorado cohort only (13 ASD, 16 controls) with repeated stool sampling; the linked article also includes an Arizona cross-sectional cohort not deposited under this accession.",v1.1-rc1,release_candidate
SCR00026,BioProject,PRJEB45948,the fecal microflora of Korean children with ASD,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB45948,ERP130123,Ha et al. 2021,Altered Gut Microbiota in Korean Children with Autism Spectrum Disorders,10.3390/nu13103300,34684301,yes,verified,South Korea,case_control,92,54,38,,primary_asd_control_groups_only,verified_group_counts,92,54,38,stool,stool,stool,16S,16S,Illumina MiSeq,yes,participant_resolved,yes,yes,included,standard,SCR00026,primary_with_ena_study_identifier,yes,yes,54,38,confirmed_from_article_and_complete_repository,RC024,"The article reports 54 ASD and 39 typically developing children recruited, with one TDC sample excluded after DNA quality control; ENA contains the final analyzed 54 ASD and 38 TDC samples. | Use 54/38 for the dataset. Preserve 54/39 separately as the recruited cohort before quality control.",v1.1-rc1,release_candidate
SCR00040,BioProject,PRJNA1018910,Therapeutic efficacy of Sulforaphane in autism spectrum disorders and its association with gut microbiota: animal model and human longitudinal studies,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1018910,,Yang et al. 2024,Therapeutic efficacy of sulforaphane in autism spectrum disorders and its association with gut microbiota: animal model and human longitudinal studies,10.3389/fnut.2023.1294057,38260076,yes,verified,China,intervention,17,6,11,,primary_asd_control_groups_only,verified_group_counts,17,6,11,stool,stool,stool,16S,16S,Illumina MiSeq,yes,participant_resolved,yes,yes,included,standard,SCR00040,primary,yes,yes,6,11,verified_participant_level_longitudinal_count,,"Human arm includes 11 age-matched healthy controls and 6 ASD boys in Changsha, China. PRJNA1018910 contains 23 stool samples because the 6 ASD participants were sampled at baseline and again after 12 weeks of sulforaphane treatment.",v1.1-rc1,release_candidate
SCR00041,BioProject,PRJNA1022510,Bacteroides is increased in an autism cohort and induces autismrelevant behavioral changes in mice in a sex-dependent manner,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1022510,SRP463952,Carmel et al. 2023,Bacteroides is increased in an autism cohort and induces autism-relevant behavioral changes in mice in a sex-dependent manner,10.1038/s41522-023-00469-2,38110423,yes,verified,Israel,case_control,138,96,42,,article_cohort_represented_by_pooled_raw_data,not_participant_resolved,,,,stool,stool,stool,16S,16S,Illumina MiSeq,yes,pooled,no,no,included,standard,SCR00041,pooled_raw_release,yes,yes,96,42,confirmed_article_cohort_raw_data_pooled,RC014,"Human cohort metadata are taken from the primary article and mirrored on GEO GSE244391 linked to PRJNA1022510; mouse experiments in the paper are excluded from n_asd/n_control because this record represents the human fecal cohort only. | Count the paper cohort once, but label raw_data_granularity=pooled and never present the two archive records as participants.",v1.1-rc1,release_candidate
