"dataset_id","bioproject_accession","study_accession","geo_accession","mgnify_accession","qiita_study_id","pubmed_id","doi","first_author","year","title","comparison","sequencing_type","body_site","n_asd","n_control","n_total","age_group","gi_symptoms","antibiotics_reported","country","source_db","notes"
"DS0001","PRJNA1445107","","","","","","","","2026","Alterations in Gut Brain Axis Metabolites and Behavioral Performance Following TABAM Intervention in Children with Autism","ASD_vs_control","16S","stool","10","6","16","child","unknown","unknown","Italy","bioproject","University of Bologna; TABAM integrative intervention vs conventional therapy; children aged 3-7; 16 of 22 enrolled completed"
"DS0002","PRJEB108563","","","","","","","","2026","Autism Spectrum Disorder - UCLA","ASD_vs_control","metagenome","stool","unknown","unknown","unknown","child","yes","unknown","USA","bioproject","UCLA gut-microbiome-brain-behavior study; UC San Diego Microbiome Initiative; 192 SRA experiments; GI comorbidities investigated; exact ASD/control split unknown"
"DS0003","PRJNA1425957","","","","","","","","2026","Analysis of microbial diversity and function on ASD gut microbiota","ASD_vs_control","16S","stool","25","0","25","child","unknown","unknown","Mexico","bioproject","Universidad Autonoma Metropolitana; longitudinal probiotic supplementation study; children 4-11; no explicit control group described; 75 SRA experiments"
"DS0004","PRJNA1393140","","","","","","","","2025","Gut microbiota and its association with gastrointestinal symptoms and pharmacological treatments in a sibling-matched cohort with autism spectrum disorder in Uruguay","ASD_vs_control","16S","stool","29","29","58","child","yes","unknown","Uruguay","bioproject","Institut Pasteur de Montevideo; full-length 16S V1-V9 via Oxford Nanopore; sibling-matched design; children aged 4-10"
"DS0005","PRJDB38329","","","","","","","","2025","Construction and Applications of Synthetic Gut Microbiota","ASD_vs_control","metagenome","stool","unknown","unknown","unknown","unknown","unknown","unknown","China","bioproject","Huazhong University of Science and Technology; multi-omics study of autism anxiety depression; also linked to PRJCA020304; exact ASD/control counts unknown"
"DS0006","PRJDB38518","","","","","41163852","10.3389/fcimb.2025.1660970","Yuan","2025","Comparison of gut viral communities between autism spectrum disorder and healthy children","ASD_vs_control","metagenome","stool","unknown","unknown","22","child","unknown","unknown","China","bioproject","Affiliated Hospital of Jiangsu University; gut virome study; 22 samples; also linked to PRJCA034040; exact ASD/control split unknown"
"DS0007","PRJNA1377943","","","","","","","","2025","Dissecting the gut microbiome in multiplex autism spectrum disorder families","ASD_vs_control","shotgun","stool","unknown","unknown","429","child","unknown","unknown","China","bioproject","Chinese University of Hong Kong; shotgun metagenomics; 429 children from multiplex ASD families; exact ASD/control counts not specified on BioProject page"
"DS0008","PRJNA1327885","","","","","","","","2025","Autism-Microbiota","ASD_vs_control","16S","stool","unknown","unknown","54","child","unknown","unknown","Uruguay","bioproject","Institut Pasteur de Montevideo; 16S amplicon; ASD children vs neurotypical siblings; 54 samples; may overlap with PRJNA1393140"
"DS0009","PRJNA1322369","","","","","41163852","10.3389/fcimb.2025.1660970","Yuan","2025","Comparison of gut viral communities between autism spectrum disorder and healthy children","ASD_vs_control","metagenome","stool","unknown","unknown","22","child","unknown","unknown","China","bioproject","Affiliated Hospital of Jiangsu University; viral metagenome in feces from ASD and healthy children; 22 samples; likely paired with PRJDB38518"
"DS0010","PRJNA1307773","","","","","","","","2025","Metagenomic data on adolescents with autism spectrum disorder","ASD_vs_control","metagenome","stool","21","19","40","child","unknown","unknown","China","bioproject","Institute of Urban Environment; age- and gender-matched adolescent cohort; 553 Gbases"
