dataset_id,source_db,accession,dataset_title,url,linked_publications,publication_title,doi,pmid,paper_verified,country,study_design,n_total,n_asd,n_control,n_other,body_site,assay_type,sequencing_platform,intervention_flag,longitudinal_flag,raw_data_public,release_class,notes
SCR00006,BioProject,PRJDB38329,Construction and Applications of Synthetic Gut Microbiota (PRJCA020304),https://www.ncbi.nlm.nih.gov/bioproject/PRJDB38329,,,,,no,China,case_control,40,20,20,,stool,metagenome,DNBSEQ-T7,no,no,yes,standard,
SCR00007,BioProject,PRJDB38518,Human gut virome (PRJCA034040),https://www.ncbi.nlm.nih.gov/bioproject/PRJDB38518,,,,,no,China,case_control,22,11,11,,stool,metagenome,Illumina MiSeq,no,no,yes,standard,
SCR00013,BioProject,PRJEB15418,Characterization of the gut microbiota associated with ASDs through high-throughput sequencing of the V3V5 region of 16S bacterial rRNA and of the ITS1 region of the fungal rRNA,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB15418,Strati et al. 2017,New evidences on the altered gut microbiota in autism spectrum disorders,10.1186/s40168-017-0242-1,28222761,yes,Italy,case_control,80,40,40,,stool,16S,454 GS FLX+,no,no,yes,standard,"Primary article and PubMed directly confirm Strati et al. 2017 (doi 10.1186/s40168-017-0242-1; PMID 28222761; PMCID PMC5320696) for PRJEB15418. The study used faecal samples from 40 ASD and 40 control children in Italy. The same cohort also generated fungal ITS1 data, but this atlas row was retained as a single dataset record and assay_type_normalized was kept as 16S under the current one-row-per-record rule."
SCR00015,BioProject,PRJEB23052,gut metagenome of ASD,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB23052,Wang et al. 2019,Alterations in Gut Glutamate Metabolism Associated with Changes in Gut Microbiota Composition in Children with Autism Spectrum Disorder,10.1128/mSystems.00321-18,30701194,yes,China,case_control,74,43,31,,stool,shotgun,Illumina HiSeq 4000,no,no,yes,standard,Counts reflect discovery-stage shotgun metagenome cohort from the linked article; validation-stage LC-MS-only participants excluded.
SCR00018,BioProject,PRJEB27306,"Analysis of the intestinal and oropharyngeal microbiome, nutritional and immunological profile of children with Autism Spectrum Disorder (ASD) compared with children without",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB27306,Zurita et al. 2020,"Analysis of gut microbiome, nutrition and immune status in autism spectrum disorder: a case-control study in Ecuador",10.1080/19490976.2019.1662260,31530087,yes,Ecuador,case_control,60,25,35,,stool,16S,Illumina MiSeq,no,no,yes,standard,"Primary article reports 25 ASD and 35 controls; ENA deposition contains 58 stool runs, so cohort counts are taken from the article while assay/platform/body-site are confirmed from ENA metadata."
SCR00020,BioProject,PRJEB29421,Gut Microbiota Features in Young Children with Autism Spectrum Disorders,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB29421,Coretti et al. 2018,Gut Microbiota Features in Young Children With Autism Spectrum Disorders,10.3389/fmicb.2018.03146,30619212,yes,Italy,case_control,25,11,14,,stool,16S,Illumina MiSeq,no,no,yes,standard,
SCR00024,BioProject,PRJEB42687,ASD Colorado Longitudinal,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB42687,Fouquier et al. 2021,The Gut Microbiome in Autism: Study-Site Effects and Longitudinal Analysis of Behavior Change,10.1128/mSystems.00848-20,33824197,yes,United States,case_control,29,13,16,,stool,16S,Illumina MiSeq,no,yes,yes,standard,"PRJEB42687 contains the Colorado cohort only (13 ASD, 16 controls) with repeated stool sampling; the linked article also includes an Arizona cross-sectional cohort not deposited under this accession."
SCR00026,BioProject,PRJEB45948,the fecal microflora of Korean children with ASD,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB45948,Ha et al. 2021,Altered Gut Microbiota in Korean Children with Autism Spectrum Disorders,10.3390/nu13103300,34684301,yes,South Korea,case_control,92,54,38,,stool,16S,Illumina MiSeq,no,no,yes,standard,"The article reports 54 ASD and 39 typically developing children recruited, with one TDC sample excluded after DNA quality control; ENA contains the final analyzed 54 ASD and 38 TDC samples."
SCR00040,BioProject,PRJNA1018910,Therapeutic efficacy of Sulforaphane in autism spectrum disorders and its association with gut microbiota: animal model and human longitudinal studies,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1018910,Yang et al. 2024,Therapeutic efficacy of sulforaphane in autism spectrum disorders and its association with gut microbiota: animal model and human longitudinal studies,10.3389/fnut.2023.1294057,38260076,yes,China,intervention,17,6,11,,stool,16S,Illumina MiSeq,yes,yes,yes,standard,"Human arm includes 11 age-matched healthy controls and 6 ASD boys in Changsha, China. PRJNA1018910 contains 23 stool samples because the 6 ASD participants were sampled at baseline and again after 12 weeks of sulforaphane treatment."
SCR00041,BioProject,PRJNA1022510,Bacteroides is increased in an autism cohort and induces autismrelevant behavioral changes in mice in a sex-dependent manner,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1022510,Carmel et al. 2023,Bacteroides is increased in an autism cohort and induces autism-relevant behavioral changes in mice in a sex-dependent manner,10.1038/s41522-023-00469-2,38110423,yes,Israel,case_control,138,96,42,,stool,16S,Illumina MiSeq,no,no,yes,standard,Human cohort metadata are taken from the primary article and mirrored on GEO GSE244391 linked to PRJNA1022510; mouse experiments in the paper are excluded from n_asd/n_control because this record represents the human fecal cohort only.
