dataset_id,source_db,accession,dataset_title,url,linked_accessions,linked_publications,publication_title,doi,pmid,pmcid,paper_verified,country,study_design,n_total,n_asd,n_control,n_other,body_site,body_site_raw,assay_type,assay_type_raw,target_region,sequencing_platform,library_layout,intervention_flag,intervention_type,longitudinal_flag,timepoints,biosample_metadata_available,raw_data_public,release_class,notes,release_version,release_status,record_status,publication_link_status,candidate_publication_title,candidate_doi,candidate_pmid,candidate_pmcid,participant_count_scope,article_count_status,article_n_total,article_n_asd,article_n_control,article_n_other,recruited_count_status,recruited_n_total,recruited_n_asd,recruited_n_control,recruited_n_other,public_count_status,public_n_total,public_n_asd,public_n_control,public_n_other,n_mothers,n_siblings,n_donors,n_other_diagnosis,all_human_hosts_n,public_biosample_count,public_run_count,raw_data_granularity,participant_resolved_raw_data,participant_resolution_source,downloadable_asd_control_pair,repeated_sampling,repeated_assay,specimen_type,anatomical_site,assay_layers,archive_library_strategy,archive_metadata_conflict,canonical_dataset_id,dataset_role,participant_overlap,count_as_independent_dataset,count_in_unique_participant_total,unique_asd_contribution,unique_control_contribution,unique_asd_control_contribution,participant_count_basis,mapping_status,correction_issue_ids,curator_evidence
SCR00006,BioProject,PRJDB38329,Construction and Applications of Synthetic Gut Microbiota (PRJCA020304),https://www.ncbi.nlm.nih.gov/bioproject/PRJDB38329,PRJCA020304; CRA013154,,,,,,no,China,case_control,40,20,20,,stool,,metagenome,,,DNBSEQ-T7,,no,,no,,yes,yes,standard,Use CRA013154 as the direct raw-data accession. Do not count PRJDB38329 and PRJCA020304 as separate datasets.,v1.1-rc1,release_candidate,included,not_linked,,,,,primary_asd_control_groups_only,not_applicable,,,,,not_curated,,,,,verified_group_counts,40,20,20,,,,,,,,,participant_resolved_cross_registry,yes,gsa_sample_alias,yes,no,no,stool,stool,metagenome,,,SCR00006,cross_registry_project_with_gsa_data,no_overlap_detected_after_alias_audit,yes,yes,20,20,40,public_gsa_samples_20_asd_20_health,confirmed_from_ngdc_project_and_biosample_metadata,RC020,"NCBI PRJDB38329 cross-references NGDC BioProject PRJCA020304, which links to GSA CRA013154. The public GSA release contains 40 unique BioSamples and 40 runs: 20 ASD_gut aliases and 20 Health_gut aliases. ASD and healthy-child status and stool origin are stated in the linked BioSample records."
SCR00007,BioProject,PRJDB38518,Human gut virome (PRJCA034040),https://www.ncbi.nlm.nih.gov/bioproject/PRJDB38518,PRJCA034040; CRA022242; PRJNA1322369,,,,,,no,China,case_control,22,11,11,,stool,,metagenome,,,Illumina MiSeq,,no,,no,,yes,yes,standard,Retain as a cross-registry discovery/download mirror; use SCR00088 as the paper-linked canonical record.,v1.1-rc1,release_candidate,repository_mirror_or_alternate_release,not_linked,,,,,primary_asd_control_groups_only,not_applicable,,,,,not_curated,,,,,verified_group_counts,22,11,11,,,,,,,,,participant_resolved,yes,biosample,yes,no,no,stool,stool,metagenome,,,SCR00088,repository_mirror,complete,no,no,0,0,0,mirror_not_counted,confirmed_from_complete_sample_alias_match,RC021,"NGDC BioProject PRJCA034040 links PRJDB38518 to GSA CRA022242. CRA022242 and PRJNA1322369 contain the same complete set of 22 sample aliases: Humanfe011-Humanfe021 and Fe178, Fe179, Fe181-Fe188, and Fe190. Cohort size, fecal virome assay, and Illumina MiSeq also match."
SCR00013,BioProject,PRJEB15418,Characterization of the gut microbiota associated with ASDs through high-throughput sequencing of the V3V5 region of 16S bacterial rRNA and of the ITS1 region of the fungal rRNA,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB15418,,Strati et al. 2017,New evidences on the altered gut microbiota in autism spectrum disorders,10.1186/s40168-017-0242-1,28222761,PMC5320696,yes,Italy,case_control,80,40,40,,stool,faecal samples,multi_amplicon,,V3-V5,454 GS FLX+,,no,,no,,yes,yes,standard,"Primary article and PubMed directly confirm Strati et al. 2017 (doi 10.1186/s40168-017-0242-1; PMID 28222761; PMCID PMC5320696) for PRJEB15418. The study used faecal samples from 40 ASD and 40 control children in Italy. The same cohort also generated fungal ITS1 data, but this atlas row was retained as a single dataset record and assay_type_normalized was kept as 16S under the current one-row-per-record rule. | Count the 71 participant-resolved public BioSamples in the current public-data subtotal; retain 40/40 only as the article cohort size.",v1.1-rc1,release_candidate,included_partial_public,verified,,,,,primary_asd_control_groups_only,verified,80,40,40,,not_curated,,,,,verified_group_counts,71,40,31,,,,,,,71,142,multi_assay_participant_resolved,partial,biosample_or_run_alias,no,no,yes,stool,stool,16S; ITS1,,,SCR00013,primary_public_subset,no_overlap_detected,yes,partial,40,31,71,public_unique_biosamples_40_asd_31_control,verified_distinct_cohort_with_public_subset_mismatch,RC010,"The 40/40 signature matches SCR00185 only numerically. This is the Strati 2017 Italian 454 cohort, whereas SCR00185 is a 2023 Chinese MiniSeq cohort with a different PMID, DOI, country, and institution. ENA exposes 71 unique BioSamples (40 AD aliases and 31 NT aliases), each represented by bacterial and fungal amplicon runs, rather than all 80 article participants."
SCR00015,BioProject,PRJEB23052,gut metagenome of ASD,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB23052,ERP104786,Wang et al. 2019,Alterations in Gut Glutamate Metabolism Associated with Changes in Gut Microbiota Composition in Children with Autism Spectrum Disorder,10.1128/mSystems.00321-18,30701194,,yes,China,case_control,74,43,31,,stool,,shotgun,,,Illumina HiSeq 4000,,no,,no,,yes,yes,standard,Counts reflect discovery-stage shotgun metagenome cohort from the linked article; validation-stage LC-MS-only participants excluded. | Count only the 74 discovery-stage shotgun participants. The separate 49 ASD/11 TD validation cohort received LC-MS only and is not part of this raw metagenome dataset.,v1.1-rc1,release_candidate,included,verified,,,,,primary_asd_control_groups_only,verified,74,43,31,,not_curated,,,,,verified_group_counts,74,43,31,,,,,,,,,participant_resolved,yes,biosample,yes,no,no,stool,stool,shotgun,,,SCR00015,primary_with_ena_study_identifier,no_overlap_detected_after_alias_audit,yes,yes,43,31,74,supplement_discovery_cohort_43_asd_31_td,confirmed_from_article_supplement_and_repository,RC022,PRJEB23052/ERP104786 exposes 74 unique BioSamples and 74 runs. Supplementary Table S1 lists exactly 43 ASD and 31 TD discovery participants receiving metagenome and LC-MS analyses. The article methods and study-flow figure also report 43/31; a single Results sentence reporting 42 ASD is an internal typographical discrepancy.
SCR00018,BioProject,PRJEB27306,"Analysis of the intestinal and oropharyngeal microbiome, nutritional and immunological profile of children with Autism Spectrum Disorder (ASD) compared with children without",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB27306,ERP109374,Zurita et al. 2020,"Analysis of gut microbiome, nutrition and immune status in autism spectrum disorder: a case-control study in Ecuador",10.1080/19490976.2019.1662260,31530087,,yes,Ecuador,case_control,60,25,35,,stool,,16S,,,Illumina MiSeq,,no,,no,,yes,yes,standard,"Primary article reports 25 ASD and 35 controls; ENA deposition contains 58 stool runs, so cohort counts are taken from the article while assay/platform/body-site are confirmed from ENA metadata. | Use 27 ASD/31 control for dataset-level public counts. Preserve 25 ASD/35 control separately as article-level analyzed-cohort counts; the reason for the group discrepancy is not reported.",v1.1-rc1,release_candidate,included,verified,,,,,public_repository_participant_records,verified,60,25,35,,not_curated,,,,,verified_group_counts,58,27,31,,,,,,,,,participant_resolved,yes,biosample,yes,no,no,stool,stool,16S,,,SCR00018,primary_public_participant_dataset,paper_repository_group_count_mismatch,yes,yes,27,31,58,ena_biosample_host_disease_status_27_asd_31_control,confirmed_repository_group_counts_differ_from_article,RC011,"The primary article reports 25 ASD cases and 35 controls. ENA PRJEB27306/ERP109374 exposes 58 unique stool BioSamples and 58 runs; the official 'host disease status' attributes classify them as 27 ASD and 31 Control. The article also cites the complete run range ERR2672822-ERR2672879, confirming that these 58 records are the linked public sequence dataset."
SCR00020,BioProject,PRJEB29421,Gut Microbiota Features in Young Children with Autism Spectrum Disorders,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB29421,ERP111721,Coretti et al. 2018,Gut Microbiota Features in Young Children With Autism Spectrum Disorders,10.3389/fmicb.2018.03146,30619212,,yes,Italy,case_control,25,11,14,,stool,,16S,,V3-V4,Illumina MiSeq,PAIRED,no,,no,,yes,yes,standard,Treat S10 as the eleventh ASD record based on the contiguous ENA ASD run block and the article's confirmed 11/14 cohort. The article reports V3-V4 sequencing and 2 x 281 cycles.,v1.1-rc1,release_candidate,included,verified,,,,,primary_asd_control_groups_only,verified,25,11,14,,not_curated,,,,,verified_group_counts,25,11,14,,,,,,,,,participant_resolved,yes,biosample,yes,no,no,stool,stool,16S,,,SCR00020,primary_with_ena_study_identifier,no_overlap_detected_after_cohort_audit,yes,yes,11,14,25,article_and_ena_25_unique_biosamples_11_asd_14_control,confirmed_from_article_and_complete_repository,RC023,"The primary article reports 11 ASD and 14 age-matched healthy controls and states that all 25 fecal samples were sequenced. ENA PRJEB29421/ERP111721 exposes exactly 25 unique BioSamples and 25 paired MiSeq runs. Fourteen aliases carry the control suffix C; the ASD run block contains ten A-suffixed aliases plus S10, the only alias with an omitted group suffix."
SCR00024,BioProject,PRJEB42687,ASD Colorado Longitudinal,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB42687,,Fouquier et al. 2021,The Gut Microbiome in Autism: Study-Site Effects and Longitudinal Analysis of Behavior Change,10.1128/mSystems.00848-20,33824197,,yes,United States,case_control,29,13,16,,stool,,16S,,,Illumina MiSeq,,no,,yes,repeated stool sampling,yes,yes,standard,"PRJEB42687 contains the Colorado cohort only (13 ASD, 16 controls) with repeated stool sampling; the linked article also includes an Arizona cross-sectional cohort not deposited under this accession.",v1.1-rc1,release_candidate,included,verified,,,,,primary_asd_control_groups_only,not_curated,,,,,not_curated,,,,,verified_group_counts,29,13,16,,,,,,,,,participant_resolved,yes,biosample,yes,yes,no,stool,stool,16S,,,SCR00024,primary,no_overlap_detected,yes,yes,13,16,29,colorado_participants_not_repeated_samples,verified_participant_level_longitudinal_count,,PRJEB42687 contains the 13 ASD and 16 control Colorado participants with repeated stool sampling. The separate Arizona article cohort is not part of this accession-level count.
SCR00026,BioProject,PRJEB45948,the fecal microflora of Korean children with ASD,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB45948,ERP130123,Ha et al. 2021,Altered Gut Microbiota in Korean Children with Autism Spectrum Disorders,10.3390/nu13103300,34684301,PMC8539113,yes,South Korea,case_control,92,54,38,,stool,,16S,,,Illumina MiSeq,,no,,no,,yes,yes,standard,"The article reports 54 ASD and 39 typically developing children recruited, with one TDC sample excluded after DNA quality control; ENA contains the final analyzed 54 ASD and 38 TDC samples. | Use 54/38 for the dataset. Preserve 54/39 separately as the recruited cohort before quality control.",v1.1-rc1,release_candidate,included,verified,,,,,primary_asd_control_groups_only,verified,92,54,38,,verified,93,54,39,,verified_group_counts,92,54,38,,,,,,,,,participant_resolved,yes,biosample,yes,no,no,stool,stool,16S,,,SCR00026,primary_with_ena_study_identifier,no_overlap_detected_after_biosample_audit,yes,yes,54,38,92,article_analyzed_cohort_and_ena_54_asd_38_tdc,confirmed_from_article_and_complete_repository,RC024,The article analyzed 54 ASD and 38 typically developing children after one recruited control failed DNA quality control. ENA PRJEB45948/ERP130123 exposes exactly 92 participant-resolved paired MiSeq runs: 54 ASD aliases and 38 TDC aliases.
SCR00040,BioProject,PRJNA1018910,Therapeutic efficacy of Sulforaphane in autism spectrum disorders and its association with gut microbiota: animal model and human longitudinal studies,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1018910,,Yang et al. 2024,Therapeutic efficacy of sulforaphane in autism spectrum disorders and its association with gut microbiota: animal model and human longitudinal studies,10.3389/fnut.2023.1294057,38260076,PMC10800504,yes,China,intervention,17,6,11,,stool,,16S,,,Illumina MiSeq,,yes,sulforaphane,yes,baseline; 12 weeks,yes,yes,standard,"Human arm includes 11 age-matched healthy controls and 6 ASD boys in Changsha, China. PRJNA1018910 contains 23 stool samples because the 6 ASD participants were sampled at baseline and again after 12 weeks of sulforaphane treatment.",v1.1-rc1,release_candidate,included,verified,,,,,primary_asd_control_groups_only,not_curated,,,,,not_curated,,,,,verified_group_counts,17,6,11,,,,,,,,,participant_resolved,yes,biosample,yes,yes,no,stool,stool,16S,,,SCR00040,primary,no_overlap_detected,yes,yes,6,11,17,participants_not_repeated_timepoints,verified_participant_level_longitudinal_count,,"The human arm has six ASD and 11 controls; the six ASD participants were sampled at baseline and 12 weeks, explaining 23 repository samples without increasing the participant count."
SCR00041,BioProject,PRJNA1022510,Bacteroides is increased in an autism cohort and induces autismrelevant behavioral changes in mice in a sex-dependent manner,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1022510,SRP463952,Carmel et al. 2023,Bacteroides is increased in an autism cohort and induces autism-relevant behavioral changes in mice in a sex-dependent manner,10.1038/s41522-023-00469-2,38110423,PMC10728123,yes,Israel,case_control,138,96,42,,stool,,16S,,,Illumina MiSeq,,no,,no,,yes,yes,standard,"Human cohort metadata are taken from the primary article and mirrored on GEO GSE244391 linked to PRJNA1022510; mouse experiments in the paper are excluded from n_asd/n_control because this record represents the human fecal cohort only. | Count the paper cohort once, but label raw_data_granularity=pooled and never present the two archive records as participants.",v1.1-rc1,release_candidate,included,verified,,,,,article_cohort_represented_by_pooled_raw_data,verified,138,96,42,,not_curated,,,,,not_participant_resolved,,,,,,,,,,1,2,pooled,no,article_only,no,no,no,stool,stool,16S,,,SCR00041,pooled_raw_release,within_accession_pooled_participants,yes,yes,96,42,138,article_96_asd_42_control_pooled_release,confirmed_article_cohort_raw_data_pooled,RC014,"The primary article and GEO metadata report 96 ASD and 42 control participants. ENA exposes one pooled BioSample and one experiment split into paired-read records, so the cohort count is article-level and the raw data are not participant-resolved."
