"screening_id","source_db","query_id","accession","title","url","search_date","decision","exclusion_reason","notes","screened_by","screening_round"
"SCR00001","bioproject","BP_Q1","PRJNA1445107","Alterations in Gut Brain Axis Metabolites and Behavioral Performance Following TABAM Intervention in Children with Autism: A Pilot Study","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1445107","2026-04-02","include","","TABAM integrative intervention vs conventional therapy in ASD children; gut metabolites and microbiota","screening_agent","1"
"SCR00002","bioproject","BP_Q1","PRJNA1432034","Gut Microbiome Changes Following Antibiotic Treatment in a Maternal Immune Activation Model","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1432034","2026-04-02","exclude","non_human","Organism=mouse gut metagenome; animal model study","screening_agent","1"
"SCR00003","bioproject","BP_Q1","PRJEB108563","Autism Spectrum Disorder -UCLA","https://www.ncbi.nlm.nih.gov/bioproject/PRJEB108563","2026-04-02","include","","UCLA ASD gut-microbiome-brain-behavior study; characterization of dysbiosis in ASD children","screening_agent","1"
"SCR00004","bioproject","BP_Q1","PRJNA1425957","Analysis of microbial diversity and function on ASD gut microbiota","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1425957","2026-04-02","include","","Longitudinal probiotic supplementation in 25 ASD children; pre/post gut microbiome diversity analysis","screening_agent","1"
"SCR00005","bioproject","BP_Q1","PRJNA1406237","Mouse Autism Research","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1406237","2026-04-02","exclude","non_human","Animal model study based on title/description","screening_agent","1"
"SCR00006","bioproject","BP_Q1","PRJNA1393140","Gut microbiota and its association with gastrointestinal symptoms and pharmacological treatments in a sibling-matched cohort with autism spectrum disorder in Uruguay","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1393140","2026-04-02","include","","","screening_agent","1"
"SCR00007","bioproject","BP_Q1","PRJDB38329","Construction and Applications of Synthetic Gut Microbiota (PRJCA020304)","https://www.ncbi.nlm.nih.gov/bioproject/PRJDB38329","2026-04-02","include","","Human gut microbiota of individuals with autism via multi-omics; includes controls","screening_agent","1"
"SCR00008","bioproject","BP_Q1","PRJDB38518","Human gut virome (PRJCA034040)","https://www.ncbi.nlm.nih.gov/bioproject/PRJDB38518","2026-04-02","include","","","screening_agent","1"
"SCR00009","bioproject","BP_Q1","PRJNA1377943","Dissecting the gut microbiome in multiplex autism spectrum disorder families","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1377943","2026-04-02","include","","Shotgun metagenomic sequencing of 429 children across different ASD family types","screening_agent","1"
"SCR00010","bioproject","BP_Q1","PRJNA1374197","Primate gut microbiota induce evolutionarily salient changes in mouse neurodevelopment","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1374197","2026-04-02","exclude","non_human","Organism=Mus musculus; animal model study","screening_agent","1"
"SCR00011","bioproject","BP_Q1","PRJNA1368445","16s RNA sequencing","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1368445","2026-04-02","exclude","non_human","Animal model study based on title/description","screening_agent","1"
