"query_id","accession","title","organism","description","url","search_date","source_db"
"BP_Q1","PRJNA1445107","Alterations in Gut Brain Axis Metabolites and Behavioral Performance Following TABAM Intervention in Children with Autism: A Pilot Study","","Emerging research suggests a link between gut microbiota, gut-derived metabolites, and autism spectrum disorder (ASD)-related behaviors and gastrointestinal issues. However, the clinical effectiveness and potential interactions of integrative interventions remain poorly understood. This pilot study compared TABAM, an integrative intervention, with conventional therapy for adaptive behavior in children aged 3-7 years with high-functioning ASD. Participants received either TABAM or conventional th","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1445107","2026-04-02","bioproject"
"BP_Q1","PRJNA1432034","Gut Microbiome Changes Following Antibiotic Treatment in a Maternal Immune Activation Model","mouse gut metagenome","Maternal immune activation (MIA) is a risk factor for neurodevelopmental disorders such as autism spectrum disorder (ASD) and schizophrenia (SCZ). This study investigates how prenatal immune activation influences gut microbiota development and behavior in offspring using a Poly(I:C) mouse model of MIA. We performed longitudinal profiling of the gut microbiota at multiple developmental stages (P30, P56, and P101) and evaluated behavioral outcomes. To assess the role of postnatal microbial perturb","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1432034","2026-04-02","bioproject"
"BP_Q1","PRJEB108563","Autism Spectrum Disorder -UCLA","","While social communication deficits are considered the hallmark of autism spectrum disorder (ASD), comorbid gastrointestinal (GI) issues are common and impair quality of life in a large subset of affected individuals. Several studies have linked these GI issues to altered gut microbial composition, or dysbiosis, in ASD. Yet research has not yet clarified how dysbiosis may be related to the core features of ASD or to the symptom heterogeneity of this disorder. A growing number of studies support","https://www.ncbi.nlm.nih.gov/bioproject/PRJEB108563","2026-04-02","bioproject"
"BP_Q1","PRJNA1425957","Analysis of microbial diversity and function on ASD gut microbiota","","longitudinal study that included 25 children of both sexes, from 4 to 11 years of age, with ASD, recruited at convenience in the Mental Health service of the National Institute of Pediatrics in Mexico City. The variables considered were: age, body mass index with Z score, constipation, grade of ASD severity and probiotic supplement time. Diversity and function gut microbiome analysis, before and after 6-month fellow-up probiotic supplementation.","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1425957","2026-04-02","bioproject"
"BP_Q1","PRJNA1406237","Mouse Autism Research","","Puerarin Rescues VPAInduced ASD Behaviors in Mice via Restoration of Gut Microbiota and SCFAs","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1406237","2026-04-02","bioproject"
"BP_Q1","PRJNA1393140","Gut microbiota and its association with gastrointestinal symptoms and pharmacological treatments in a sibling-matched cohort with autism spectrum disorder in Uruguay","","Autism Spectrum Disorder is a complex neurodevelopmental disorder marked by difficulties in communication, social interaction, and restricted, repetitive behaviors. The gut microbiota has emerged as a key factor in the gut-brain axis relevant to ASD. We conducted a cross-sectional study comparing the gut bacterial composition of children with ASD n29 and their neurotypical siblings NT, n29. To minimize environmental and lifestyle confounders, all pairs were 4 to 10 years old and cohabiting in th","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1393140","2026-04-02","bioproject"
"BP_Q1","PRJDB38329","Construction and Applications of Synthetic Gut Microbiota (PRJCA020304)","human gut metagenome","This project studies the gut microbiota of individuals with autism, anxiety disorders, and depression through multi-omics approaches. It aims to engineer a functional replacement microbiota and an intelligent regulatory microbiota that express bioactive substances to improve and treat mental disorders, validated through animal models.","https://www.ncbi.nlm.nih.gov/bioproject/PRJDB38329","2026-04-02","bioproject"
"BP_Q1","PRJDB38518","Human gut virome (PRJCA034040)","human gut metagenome","Human gut virome relation with ASD and healthy children","https://www.ncbi.nlm.nih.gov/bioproject/PRJDB38518","2026-04-02","bioproject"
"BP_Q1","PRJNA1377943","Dissecting the gut microbiome in multiplex autism spectrum disorder families","","This study aimed to investigate gut microbiota changes in different family types with ASD. Here, we performed shotgun metagenomic sequencing in stool samples of 429 children.","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1377943","2026-04-02","bioproject"
"BP_Q1","PRJNA1374197","Primate gut microbiota induce evolutionarily salient changes in mouse neurodevelopment","Mus musculus","Multiple primate species, including humans, evolved brains that are exceptionally large relative to their body sizes. These large brains coevolved with metabolic adaptations that enhance cerebral energy supply, including increased circulating glucose levels. While the gut microbiota (GM) is known to influence host metabolism, its potential role in primate brain evolution remains unclear. To investigate this, we inoculated germ-free mice with the GMs of primate species selected to separate the ef","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1374197","2026-04-02","bioproject"
"BP_Q1","PRJNA1368445","16s RNA sequencing","","This study employs a genetically engineered mouse model to investigate the critical role of the gut microbiome in Autism Spectrum Disorder (ASD) and to evaluate a prebiotic intervention strategy. The research specifically utilizes Chd8 haploinsufficient (Chd8) mice, a model recapitulating core ASD features, to determine whether genetic risk factors drive specific alterations in gut microbial communities. By comparing the gut microbiota composition (via 16S rRNA gene sequencing) across three grou","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1368445","2026-04-02","bioproject"
